"Name","Instance Count","Size (bytes)"
"java.util.Collections$UnmodifiableCollection$1",42,1008
"org.springframework.http.CacheControl",42,1680
"org.springframework.util.ConcurrentReferenceHashMap",42,1680
"org.springframework.util.ConcurrentReferenceHashMap$Segment[ ]",42,3360
"org.springframework.web.context.request.async.StandardServletAsyncWebRequest",42,2688
"org.springframework.web.context.request.async.StandardServletAsyncWebRequest$LifecycleHttpServletResponse",42,1344
"org.springframework.web.context.request.async.StandardServletAsyncWebRequest$LifecycleServletOutputStream",42,1008
"org.springframework.web.context.request.async.WebAsyncManager$$Lambda.0x000000080066c6c8",42,672
"org.springframework.web.method.annotation.ModelFactory",42,1008
"org.springframework.web.method.annotation.SessionAttributesHandler$$Lambda.0x000000080068f870",42,1008
"org.springframework.web.servlet.mvc.method.annotation.ServletRequestDataBinderFactory",42,1008
"java.util.PropertyPermission",41,1312
"org.springframework.ui.ModelMap$$Lambda.0x000000080068bd50",41,656
"org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$Match",41,984
"org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping$$Lambda.0x000000080067fdc8",41,984
"org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping$$Lambda.0x0000000800697d98",41,656
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter$$Lambda.0x00000008006846d8",41,984
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter$$Lambda.0x00000008006964b0",41,1312
"java.lang.management.ManagementPermission",40,960
"java.util.HashMap$EntryIterator",40,1280
"java.util.RegularEnumSet",40,1280
"java.util.concurrent.atomic.AtomicLongArray",40,640
"java.io.ClassCache$CacheRef",39,1872
"java.util.ResourceBundle$BundleReference",39,1560
"java.util.ResourceBundle$CacheKey",39,2808
"java.util.regex.Pattern$$Lambda.0x0000000800167400",39,624
"java.math.BigInteger[ ]",38,1184
"jdk.proxy2.$Proxy32",38,608
"java.io.File",37,1184
"jdk.internal.org.objectweb.asm.Edge",37,888
"com.jprofiler.agent.probe.structures.h",36,1440
"com.jprofiler.agent.util.f",36,1152
"java.lang.invoke.LambdaFormEditor$Transform[ ]",36,1168
"jdk.internal.misc.InternalLock",36,576
